,0
42,"Lors du iHeartRadio Music Awards 2019, Alicia Keys et son fils de 8 ans ont volé la vedette. A chaque fois qu'Alicia Keys monte sur scène avec son piano il se passe quelque chose de magique. Sa performance aux Grammy Awards en février dernier où elle avait repris seule avec deux pianos des classiques de Lauryn Hill, Drake, Juice Wrld... en témoigne. Alicia Keys et son fiston font le show Ce 14 mars 2019 avait lieu les iHeartRadio Music Awards 2019 et pour l'occasion Alicia a performé son dernier single Raise A Man 'en live. Au bout de quelques secondes, elle a fait appel à son fiston Egypt pour l'accompagner au piano. Du haut de ses 8 ans, le petit garçon sûr de lui a joué comme un pro devant un public conquis.                   Voir cette publication sur Instagram                            The Mommy & Me moment I’ve been dreaming of!!! WOWOWOW!!! Egy I’m in awe of you! You’re so BRAVE and BEAUTIFUL and make me so PROUD!!! ❤️ ❤️❤️ The feeling I felt with you next to me during this song???? FULL BODY CHILLS. You ROCKED SON!!!!! ☀️ ☀️ ☀️ your journey is just beginning and I’m so blessed to #raiseaman like you 

 Imprimer


 0 Commentaires


Tweet






googletag.cmd.push(function() { googletag.display('div-gpt-ad-1529582824344-0'); });


 

googletag.cmd.push(function() { googletag.display('div-gpt-ad-1530614880815-0'); });


 

Articles associés




Algérie : Au moins 12 morts suite à un accident de bus
 19 Janvier 2020 08:45






La météo du dimanche 19 janvier 2020
 18 Janvier 2020 23:49






Bguir qualifie son club aux demi-finales de la coupe
 18 Janvier 2020 23:15








$(document).ready(function(){
	if($.cookie(""getIntro"")==1){
		$('.similarsShow').bind('inview', function(event, visible) {		
			if (visible && $('.similarsShow').data('status')==0) {
				$(""body"").speedoPopup( {
					htmlContent : $('#contents_popup').html(),
					effectIn: 'slideBottom',
					effectOut: 'slideBottom',
					closeCaption : '<i class=""fa fa-close""></i>',
					onComplete : function(){ 
						setTimeout(function(){$('.speedo-ui-close').addClass('bg_9'); },200)
						$('.similarsShow').data('status', 1) ; 
					}
				});	
				return false; 
			}
		});
	}
});

Voir plus




Musique


Mariah Carey, numéro 1 de la musique sur quatre décennies différentes
 01 Janvier 2020 20:41
Grâce à son morceau ""All I Want for Christmas Is You"", la diva de la pop Mariah Carey est devenue ...






Musique


Mehdi Ayachi remporte la 5e édition de The Voice
 21 Décembre 2019 22:08
Mehdi Ayachi remporte la 5e édition de The Voice






Musique


Mehdi Ayachi a milité pour chanter tunisien à la finale de 'The Voice' (Vidéos)
 20 Décembre 2019 10:15
Lors de son passage sur les ondes de Mosaïque FM, Hajer, l'épouse du chanteur Mehdi Ayachi, ...






Musique


Découvrez 'Alech' de Balti et Hammouda
 14 Décembre 2019 12:36
Découvrez en exclusivité la nouvelle chanson du rappeur Balti et Hammouda, ""Alech"" sur les ondes ...






Musique


YouTube interdit les attaques personnelles et le harcèlement
 12 Décembre 2019 07:18
YouTube interdit les attaques personnelles et le harcèlement






Musique


Le catalogue de Jay-Z de retour sur Spotify, pour ses 50 ans
 04 Décembre 2019 23:02
Le catalogue des morceaux en solo du célèbre rappeur Jay-Z a fait son retour mercredi sur la ...






Musique


Drame de Amdoun : Le responsable civil du bus placé en garde à vue
 02 Décembre 2019 17:34
Le porte-parole du Tribunal administratif de Béja, Riadh Ben Bekri, a affirmé ce ...






Musique


Les principales nominations pour les Grammys 2020
 20 Novembre 2019 16:40
Les principales nominations pour les Grammys 2020







Musique


Plus de 5 mille touristes participent aux Dunes Electroniques (Vidéos + Photos)
 17 Novembre 2019 11:34
Dunes Électroniques : Plus de 5 mille touristes au rendez-vous





$(document).ready(function(){
	$(""#musicNews"").owlCarousel({
		loop:true, 
		rtl: false, 
		nav:true, 
		navText:[""<span class='fa fa-chevron-left'></span>"", ""<span class='fa fa-chevron-right'></span>""], 
		dots:false, 
		responsive:{0:{ items:2, slideBy:2}, 768:{items:3, slideBy:3} } 
	});
})


Commentaires

"
43,"Le chanteur américain Stevie Wonder a annoncé en plein concert à Londres, qu'il va subir une greffe de rein prochainement et qu'il va arrêter sa tournée. Le musicien de 69 ans, a rassuré son public même s’il doit subir une opération importante dans les mois à venir.  «Alors voilà ce qui va se passer : je vais subir une greffe de rein en septembre prochain, a-t-il expliqué. Mais je vais bien, je vais bien, je vais bien. J'ai un donneur et tout va bien. » a-t-il indiqué.   (Source: The Telegraph)    "
44,"Le rappeur Belge Damso a accordé ce vendredi 15 février une interview exclusive à MosaiqueFm. A 26 ans, Damso tiendra un concert à la coupole d'El Menzah (Tunis) le 2 mars prochain. -Il est vrai que vous êtes connu et apprécié par beaucoup de fans Tunisiens, si vous devriez vous présenter pour ceux qui ne vous connaissent pas... Comment le feriez-vous? Damso: ""C'est très compliqué puisque je me présente très rarement, mais je leur dis d'écouter mes albums"".  -Que représente le rap pour vous? Damso: ""c'est mon style de musique, je raconte ce que je vis, ce que je vois, ce que j'entends, ce qui m'arrive, ce qui peut nous arriver à nous ou à moi même (...) je m'inspire de tout, de ma vie, celle des gens""... -Comment vous évaluez vos deux titres qui ont connu un large succès en 2017, à savoir Mwakamoon Ft Kalash et Macarena? -Damso: "" A chaque fois je suis très surpris (...) j'enregistre au studio puis je publie sur les réseaux sociaux et je suis très content"". -Samedi dernier vous avez remporté la victoire de la musique du meilleur album rap ""Lithopédion"", que représente cette consécration pour vous? Damso: "" Lithopédion est un foetus mort dans le corps d'une femme et qui n'a pas été expulsé (...) j'aimais bien ça car je me sentais un peu comme ça, mort dans un corps en vie"". ""Je suis content pour le prix que j'ai décroché mais surtout avec ce qui se passe dans le rap (...) maintenant on commence à respecter le rap pour ce qu'il est  (...) le fait que je sois récompensé, ça ouvre des portes pour plusieurs choses"".   -Les puristes ne considèrent pas le rap comme un art.. Qu'en pensez-vous? Damso: "" A partir du moment où on fait quelque chose avec le coeur avec passion et de l'amour, pour moi c'est de l'art"".    -En guise d'au-revoir, pouvez-vous livrer un élément insolite que avec prévu pour votre public le 2 mars prochain? Damso: "" Je vais reprendre le sport pour être en forme le 2 mars mais je suis sûre que ça va être un bon concert (...) je ne pensais pas que le public connaissait ma musique et le fait de le savoir ça me motive encore plus.    "
45,"Samedi soir, grâce à sa reprise de Hallelujah de Leonard Cohen, Mennel Ibtissem a réussi à franchir la difficile épreuve des auditions à l’aveugle. Si la belle histoire aurait pu s’arrêter là, du moins jusqu’à la prochaine étape de l’émission, il n’en est rien. Si certains se sont très vite offusqués du port du voile de la jeune femme, d’autres ont déterré d’anciens tweets postés après les attentats de Nice par la chanteuse, suscitant une vive polémique. Pendant plusieurs heures, Mennel Ibtissem a été la cible de nombreuses attaques, dont beaucoup proviennent de la fachosphère. En cause, des messages postés sur ses comptes Twitter et Facebook au lendemain des attentats de Nice, et qui relaient des thèses complotistes. « C’est devenu une routine, un attentat par semaine, écrit-elle, tel que le rapporte Nice matin. Et toujours pour rester fidèle, le ""terroriste"" prend avec lui ses papiers d’identité. C’est vrai que quand on prépare un sale coup, on oublie surtout pas de prendre ses papiers. #PrenezNousPourDesCons. » Autre message, quelques jours après l’attentat de Saint-Etienne-du-Rouvray : « Les vrais terroristes c’est notre gouvernement », poste-t-elle. D’autres internautes ont relevé que la jeune femme avait également partagé des publications des très controversés  Tariq Ramadan et Dieudonné. Les comptes Twitter et Facebook de la jeune femme ont depuis été désactivés.      "
46,"Sous le signe de la joie, de la bonne humeur, et de l'espoir, la chanteuse libanaise Carole Samaha a livré, vendredi, dans le cadre de la 55ème édition du Festival International de Carthage (FIC) un spectacle aux sonorités ensoleillées et chaleureuses de l'amour et de l'optimisme. Sous les applaudissements et les acclamations du public à dominante féminine, la chanteuse libanaise Carole Samaha a entraîné ses admirateurs durant une 1h30 dans son monde joyeux aux sonorités universelles où le flamenco se mélange avec le rock et les rythmes de la ""dabka"". Exprimant son bonheur de retrouver le public tunisien après 5 ans d'absence, Carole Samaha a subjugué les festivaliers par sa prestance, son énergie positive et le caractère exceptionnel de ses cordes vocales. Interagissant avec son public, la chanteuse libanaise aux multiples atouts a interprété ses plus belles chansons comme ""Ensa Hmoumak"", ""Sahranine"", ""Ghaly Aalya"" ou encore ses ballades comme ""Italaa Fiya"" et ""Ana Kalbi Lih Hassess"". Rendant hommage au public tunisien et à la chanson tunisienne, Samaha a interprété un medley de Hédi Jouini. Elle a aussi tenu à partager avec les spectateurs sa passion pour la variété internationale et le Rock en interprétant ""je t'aime"" de la chanteuse belgo-canadienne Lara Fabian ou encore ""The Show must go on"" du groupe rock Queen. De l'audace, de l'élégance et de la générosité, Carole Samaha a montré tout au long du ""show"" une vraie maitrise de la scène et de son public. Dansant, chantant et dialoguant avec le public, Samaha a su tenir en haleine une assistance conquise par les qualités artistiques de la chanteuse. Hissant le drapeau tunisien, Carole Samaha a clôturé son spectacle avec l'interprétation ""Wahshani Baladi"" signée par le compositeur égyptien feu Mohamed Abdelwaheb, une chanson dédiée à ceux qui habitent loin de leur patrie et de leur famille.  De la joie, de la passion et de la sensualité, les mélodies ensoleillées de Carole Samaha chantent l'optimisme et l'espoir face aux difficultés de la vie. A la fin du spectacle, conquis et transporté dans l'univers positif de l'artiste libanaise, le public a continué à fredonner ses chansons en quittant les gradins de l'amphithéâtre de Carthage. (tap)   "
47,"Les intempéries ont été au rendez-vous en même temps que les spectateurs venus braver le froid et la pluie afin d'assister au Sicca Jazz, l' événement incontournable de nombreux mélomanes, fidèles à cette date et à la ville du Kef depuis déjà 4 éditions.  Retour sur la 2ème soirée du festival Sicca Jazz, programmée le dimanche 18 mars 2018 et qui a forcément connue la présence d'une foule importante de spectateurs. L'artiste Mohamed Hedi Agerbi, saxophoniste, s'est surpassé en inaugurant la soirée sur des notes sonores 'soufie'. Connu pour son répertoire musical distingué, il a rejoué sur scène de nombreux titres y compris des chansons issues du patrimoine musical tunisien.  D'après ses déclarations à Mosaïque FM, Agerbi a exprimé son bonheur d'avoir participé pour la première fois au Sicca Jazz et d'être au Kef, et n'a pas manqué de mentionner qu'il prépare un spectacle d'envergure pour le mois de Mai.   Il a tenté d'ajouter sa petite touche aux airs qu'il a présenté à son public au Kef.  Lors de la 2ème partie, l'Indou 'TrilokGurtu' a pris les rênes de la soirée accompagné de sa troupe de musique. La variété musicale de leur répertoire a adouci la foule, en fusionnant différents instruments. Le mélange Jazz, pop et musique africano-indienne a eu du succès.    


    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz



    	Kef: Spectacle Hindou pour la deuxième journée de Sicca Jazz





jQuery(document).ready(function($) {
	$(""#gallery-8656"").royalSlider({
    	fullscreen: { enabled: true, nativeFS: true },
    	controlNavigation: ""thumbnails"",
    	autoScaleSlider: true, 
    	autoScaleSliderWidth: 160,     
    	autoScaleSliderHeight: 90,
    	loop: false,
    	imageScaleMode: ""fit-if-smaller"",
   	 	navigateByClick: true,
   	 	numImagesToPreload:2,
    	arrowsNav:true,
    	arrowsNavAutoHide: true,
    	arrowsNavHideOnTouch: true,
    	keyboardNavEnabled: true,
    	fadeinLoadedSlide: true,
    	globalCaption: true,
    	globalCaptionInside: true,
    	thumbs: { appendSpan: true, firstMargin: true, paddingBottom: 4 }
  	});
});
  Amira Albouchi  Achwaq Mejri   "
48,"Voici les nominations annoncées mercredi dans les principales catégories pour les 62e Grammy Awards, les récompenses américaines de la musique, qui seront décernées le 26 janvier à Los Angeles. La chanteuse et rappeuse Lizzo est en tête avec huit nominations, suivie par la chanteuse de 17 ans Billie Eilish et le rappeur Lil Nas X, avec six nominations chacun. - Album de l'année -  Bon Iver, ""i, i"" Lana Del Rey, ""Norman Fucking Rockwell!"" Billie Eilish, ""When We All Fall Asleep, Where Do We Go?"" Ariana Grande, ""thank u, next"" H.E.R., ""I Used To Know Her"" Lil Nas X, ""7"" Lizzo, ""Cuz I Love You (Deluxe)"" Vampire Weekend, ""Father Of The Bride"" - Enregistrement de l'année, attribué pour la performance globale d'un titre -  Bon Iver, ""Hey, Ma"" Billie Eilish, ""Bad Guy"" Ariana Grande, ""7 Rings"" H.E.R., ""Hard Place"" Khalid, ""Talk"" Lil Nas X featuring Billy Ray Cyrus, ""Old Town Road"" Lizzo, ""Truth Hurts"" Post Malone et Swae Lee, ""Sunflower"" - Chanson de l'année, attribué aux auteurs/compositeurs -  Lady Gaga, Natalie Hemby, Hillary Lindsey et Lori McKenna, ""Always Remember Us This Way"" (from ""A Star Is Born"") Billie Eilish et Finneas O'Connell, ""Bad Guy"" Brandi Carlile, Phil Hanseroth, Tim Hanseroth et Tanya Tucker, ""Bring My Flowers Now"" H.E.R., Ruby Amanfu, Sam Ashworth, D. Arcelious Harris et Rodney Jerkins, ""Hard Place"" Taylor Swift, ""Lover"" Lana Del Rey et Jack Antonoff, ""Norman Fucking Rockwell!"" Lewis Capaldi, Tom Barnes, Pete Kelleher, Benjamin Kohn et Sam Roman, ""Someone You Loved"" Lizzo, Steven Cheung, Eric Frederic et Jesse Saint John, ""Truth Hurts"" - Révélation de l'année -  Black Pumas Billie Eilish Lil Nas X Lizzo Maggie Rogers Rosalia Tank And The Bangas Yola - Meilleur clip -  The Chemical Brothers, ""We've Got to Try"" Gary Clark Jr, ""This Land"" FKA twigs, ""Cellophane"" Lil Nas X et Billy Ray Cyrus, ""Old Town Road"" Tove Lo, ""Glad He's Gone"" - Meilleur album de rap -  Dreamville, ""Revenge Of The Dreamers III"" Meek Mill, ""Championships"" 21 Savage, ""I Am > I Was"" Tyler, The Creator, ""Igor"" YBN Cordae, ""The Lost Boy"" - Meilleur album de rock -  Bring Me The Horizon, ""Amo"" Cage The Elephant, ""Social Cues"" The Cranberries, ""In The End"" I Prevail, ""Trauma"" Rival Sons, ""Feral Roots"" - Meilleur album vocal pop -  Beyonce, ""The Lion King: The Gift"" Billie Eilish, ""When We All Fall Asleep, Where Do We Go?"" Ariana Grande, ""thank u, next"" Ed Sheeran, ""No. 6 Collaborations Project"" Taylor Swift, ""Lover"" - Meilleur album de musique alternative -  Big Thief, ""U.F.O.F."" James Blake, ""Assume Form"" Bon Iver, ""i, i"" Vampire Weekend, ""Father of the Bride"" Thom Yorke, ""Anima"" - Meilleur album de musique du monde -  Altin Gun, ""Gece"" Bokante & Metropole Orkest dirigé par Jules Buckley, ""What Heat"" Burna Boy, ""African Giant"" Nathalie Joachim with Spektral Quartet, ""Fanm D'Ayiti"" Angelique Kidjo, ""Celia""   (AFP) "
49,"Le jeune tunisien Marouen Rahmouni, candidat de The Voice 8, a franchi une nouvelle étape dans la compétition musicale, et poursuit l'aventure dans l'équipe du chanteur Français Julien Clerc. Lors de l'épreuve ""Les K.O"", Marouen, initialement choisi par Jennifer lors des auditions à l'aveugle, a interprété une chanson de Sia ""Chandelier"". Finalement, le jeune médecin de 24 ans à la voix sublime, a été volé par Julien Clerc et passera à l'épreuve des ""battles"", la semaine prochaine.    #TheVoice  ""Il est incroyable !""  Les coachs sont bluffés par l'interprétation de Marouen ! pic.twitter.com/E09AHucXWl  — The Voice Officiel (@TheVoice_TF1) 6 avril 2019   Bienvenue Marouen @Marouenthevoice !! #TheVoice  - L'équipe de Julien Clerc pic.twitter.com/MDp2g8uXlo  — Julien Clerc (@JulienClerc_Off) 6 avril 2019   #TheVoice  Marouen ira aux Battles ! Et ce sera dans l'équipe de @JulienClerc_Off ! pic.twitter.com/MF5UOQYRTT  — The Voice Officiel (@TheVoice_TF1) 6 avril 2019   "
50,"Le célèbre producteur Quincy Jones a accusé le roi de la pop d'avoir plagié plusieurs de ses tubes, dont le mythique ""Billie Jean"".   ""Je n'ai pas envie de le dire publiquement, mais Michael a volé beaucoup de trucs. Il a volé beaucoup de chansons"", a déclaré le producteur de 84 ans qui a participé à la création des albums mythiques ""Thriller"" et ""Bad"".   Quincy Jones a également évoqué des ressemblances entre le classique ""Billie Jean"", un morceau dont il a assuré la production,  et ""State of Independence"", un morceau de la reine du disco Donna Summer qu'il a également produit et sorti quelques mois auparavant.   (AFP) "
51,"Pour la quatrième année consécutive, les montagnes du nord-ouest vont vibrer au rythme du jazz. Le ""Tunisia Siccaveneria international Jazz Festival"" communément connu par "" Sicca Jazz"" aura lieu cette année du 15 au 21 mars 2018 sous le slogan de "" The road to Jugurtha "" (La route pour Jugurtha), la grande mesa se plaçant comme étant la destination attractive de la région pour cette 4ème édition du festival.   Parmi les moment forts, la caravane artistique qui prendra lieu dans plusieurs délégations du Kef : Tejerouine, Kalaat Senan, Dahmani, Sers, Sakiet Sidi Youssef et le Kef centre. Quant aux soirées officielles, elles auront lieu du 17 au 21 à la Kasbah.   En marge du festival, des résidences artistiques, des showcases, des Jam Sessions et un colloque international.   autour de l’intégration de la Table de Jugurtha dans le Patrimoine officiel de l’Unesco seront au programme. Des master classes auront lieu du 17 au 21 Mars au centre culturel Sahbi Mosrati El Kef. Destinées principalement aux jeunes du Nord-Ouest, ces master classes sont l’occasion pour ces derniers d’aller à la rencontre des artistes invités. De ce partage d’expériences et de connaissances de la musique, naîtra le premier Jazz Club de la ville du Kef.    Depuis 2015, des dizaines d’artistes nationaux et internationaux ont créé l’événement dans la ville du Kef à travers le projet de ce Festival de Jazz unique en son genre. D’Anouar Brahem à Iyeoka, en passant par Paco Sery et Rabih Abou Khalil ou encore Omar El Ouaer, le public venant des quatre coins du pays et même de l’étranger a pu assister à des spectacles, des show cases, des expositions et des master classes dans des lieux aussi prestigieux qu’inattendus.   Cette année, l’équipe du festival renouvelle l’expérience avec un programme dense et varié s’étalant sur une semaine durant le mois de mars, à la Kasbah du Kef, dans les centres culturels ou sur la table de Jugurtha.   Pour cette quatrième édition, ""Sicca Jazz 2018 "" mettra en valeur la "" SiccaVeneria "" de Tunisie, soit la ville de Vénus, la déesse de la beauté et de l’amour. Ce qui fait de Sicca Jazz non pas un festival de plus, mais un festival à part, ayant pour ambition la mise en valeur d’un patrimoine culturel et immatériel et d’une ville par le biais de l’art et de la musique.   Les soirées réunissent une sélection d’artistes de renom sur la scène nationale et internationale notamment des Pays bas, des USA, de l'Inde, du Maroc, d'Algérie, de Royaume Uni et de la Tunisie. Le public mélomane pourra découvrir les différentes déclinaisons du Jazz par thèmes, du jazz spirituel, de l’Afro Jazz, de la Soul Jazz, de la fusion etc.    En plus des soirées à thèmes et des nouveaux projets artistiques présentés lors de cette session, la programmation du festival se démarquera par la mise en place d’une station artisanale et touristique à la Table de Jugurtha. Du 17 au 24 Mars, et sur le site de la Table de Jugurtha, des activités telles qu’un marché équitable et une exposition de traditions culinaires et du terroir seront programmées.   Le programme prévoit également la caravane de concerts nomades. Cette caravane musicale sera organisée dans six délégations du Kef. Dans le but de la décentralisation culturelle, la caravane sillonnera entre autres les maisons de jeunes et centres de culture des délégations de Tejerouine, Kalaat Snene, Sakiat Sidi Youssef, Sers, Dahmani. Du 15 au 19 mars, ce sont des artistes comme Democratoz (Algérie), Junior Tshaka (Suisse) qui partiront à la rencontre du public du grand Kef.    Quant aux résidences artistiques, elles auront lieu du 17 au 21 mars au centre culturel Sahbi Mosrati El Kef. Sous la direction des musiciens tunisiens Omar El Ouaer et Malek Lakhoua, ces résidences seront une occasion pour les artistes d’échanger autour de la musique du Jazz. Cette plateforme produite par Ramzi Jebabli, fondateur et directeur du festival, permettra aux musiciens de tester de nouvelles collaborations musicales entre artistes confirmés et jeunes talents de la région. Les résidences artistiques seront assurées par plusieurs artistes de renommée de la région du Kef à savoir Mondher Jebabli, Abdelrahmen Chikhaoui, Sadek Bouzinou (Algérie) et bien d’autres artistes. Un concert sera donné en clôture le 21 mars pour montrer au public l’aboutissement du travail effectué sur place.   tap "
52,"Le groupe de hard rock américain Guns N' Roses a annoncé qu'il prépare de nouvelles chansons, 11 ans après  la sorti de leur dernier album ""Chinese Democracy"" en 2008. Dans une interview donnée à la chaîne japonaise TVK, Slash, l’emblématique guitariste du groupe, a fait savoir que trente trois ans après son lancement, Guns N'Roses continue à faire du bien aux oreilles de ses fans.       Formé en 1985, le groupe se compose du chanteur Axl Rose, des guitaristes Slash et Izzy Stradlin, du bassiste Duff McKagan et du batteur Steven Adler. Parmi les chansons les plus connues de Guns N' Roses, le titre ""November Rain"" sorti en 1991 et qui continue à faire fureur jusqu'à aujourd'hui sur youtube, avec 1.120.790.742 vues.    "
53," La chanteuse irlandaise des Cranberries Dolores O'Riordan, morte à  l'âge de 46 ans à Londres, était sur le point d'enregistrer une reprise de son tube ""Zombie"" avec le groupe de hard rock Bad Wolves, a indiqué ce dernier. ""Nous sommes choqués et attristés par la nouvelle du décès de Dolores, quelques heures à peine avant qu'elle n'enregistre le chant sur notre version de Zombie"", a déclaré Bad Wolves sur sa page Facebook. Dolores m'a laissé un message vocal après minuit hier soir (dans la nuit de dimanche à lundi, ndlr) pour me dire à quel point elle aimait la version de Zombie de Bad Wolves. Elle était impatiente de me voir en studio et d'enregistrer sa voix"", a-t-il déclaré. ""Elle avait l'air pleine de vie, elle plaisantait, elle était ravie de nous voir, ma femme et moi, cette semaine"", a-t-il ajouté. (AFP) "
54,"Le passage de Manel, jeune française d’origine syrienne dans le programme de découverte de stars dans sa version française The Voice a scotché les coachs et le public.   Sa performance diffusée hier samedi 3 février 2018 sur TF1 n’est pas passée inaperçue. La reprise de Hallelujah était tout simplement magique.    Manel a choisi d’être coachée par le chanteur Mika. Il s’agissait d’un moment de grâce.   L’évolution de Manel dans la compétition reste à suivre…          "
55,L’Agence tunisienne de formation professionnelle a annoncé ce mardi 11 juin 2019 le lancement pour la première fois des inscriptions en ligne à ses centres via son site électronique.   Les  élèves peuvent s’inscrire sur le site www.atfp.tn.  
56,"  Après le succès fulgurant qu'a eu Hassen Doss, ce dernier n'a pas tardé à rempiler avec une nouvelle chanson intitulée ""3echka"".  Sa dernière création relate la souffrance d'un joueur d'arts martiaux, éperdument amoureux de sa dulcinée.  En attendant sa diffusion en exclusivité sur Mosaïque FM, nous vous proposons d'écouter un extrait de cette chanson.      






volume





0:00






0:00


JavaScript is required.


Play / pause








Ichka








 "
57,"La version originale de Nothing Compares 2 U de Prince a été dévoilée deux ans après sa mort, par son entourage ce samedi 21 avril 2018. Enregistrée durant l'été 1984, régulièrement jouée sur scène et présente sur l'album live The Hits/The B-Sides (1993), la chanson a été dévoilée sous forme de clip composé de plusieurs vidéos inédites. Le titre sera également disponible en version vinyle dès le 25 mai prochain, rapporte le site Rolling Stone.  "
58,"Mennel Ibtissem, candidate de ""The Voice"" dans sa version française a annoncé hier soir sa décision de quitter la compétition.   La candidate a indiqué dans une vidéo postée sur sa page Facebook, Mennel a fait savoir qu""en tant qu'artiste, chanteuse, j'ai participé à 'The Voice' avec l'intention de rassembler, pas de diviser, d'ouvrir les esprits, pas de les assombrir, commence la jeune femme. J'ai foi en l'humanité et en la bienveillance des gens, j'ai foi en un futur rempli d'amour, de paix et de tolérance. J'ai foi en mon pays, la France.""   ""Très difficilement les tensions survenues ces derniers jours"". ""Je n'ai jamais songé à blesser qui que ce soit, et la seule perspective que mes propos soient source de peine me heurte. J'ai donc pris aujourd'hui la décision de quitter cette aventure"", annonce-t-elle.   ""Je garde le sourire et ne céderai pas à la peur. Je veux dire un grand merci à tous ceux qui me soutiennent dans ces moments difficiles, qui ont foi en moi sans s'arrêter au jugement précipité, merci à ceux qui pardonnent les maladresses. Je vous aime"".   Mennel Ibtissem a été la cible de nombreuses attaques, dont beaucoup proviennent de la fachosphère. En cause, des messages postés sur ses comptes Twitter et Facebook au lendemain des attentats de Nice, et qui relaient des thèses complotistes.      "
59,"Le groupe de rock alternatif arabe Mashrou’Leila  formé à Beyrouth,  en 2008, dans un atelier de musique à l'Université américaine de Beyrouth, se produira  Samedi 28 Juillet 2018  à l'Acqua Viva Gammarth. Un spectacle très attendu  avec ce groupe que certains surnomment: Les Beatles de Beyrouth. "
60,"Le dernier album du rappeur canadien Drake, ""Scorpion"", déjà N.1 des ventes une semaine après sa sortie le 29 juin, a également explosé les records d'écoutes en ligne, selon le cabinet Nielsen Music. A la date de jeudi dernier, ""Scorpion"" a été écouté près de 746 millions de fois aux Etats-Unis sur les différentes plateformes comme Spotify ou Apple Music. Le Canadien surpasse un autre rappeur, Post Malone, dont l'album ""Beerbongs and Bentleys"" avait atteint 431 millions d'écoutes en mai.  Au rayon des ventes --y compris les téléchargements et le streaming-- Drake a écoulé 732.000 exemplaires de son dernier opus, atomisant les rockeurs du Dave Matthews Band (292.000 copies pour ""Come Tomorrow""). Dans son nouvel album de 25 titres, Drake reste dans le registre du rap, qui a fait de lui un des chanteurs ayant vendu le plus d'albums ces dernières années. Dans d'autres morceaux, il s'aventure davantage dans le domaine de la pop. Le rappeur Jay-Z apparaît sur ""Talk Up"" qui dénonce le président américain Donald Trump, ainsi que le ""roi de la pop"" Michael Jackson dont la voix se reconnaît dans le choeur de ""Don't Matter To Me"", près de dix ans après sa mort. Les records de streaming sont régulièrement battus grâce à l'augmentation des titres disponibles sur les plateformes d'écoute en ligne à la demande. Afin de rendre les classements des audiences plus représentatifs, Nielsen Service a changé sa formule depuis dimanche pour donner plus de poids aux services d'abonnement par rapport aux plateformes gratuites comme YouTube.    "
61,"Grâce à son morceau ""All I Want for Christmas Is You"", la diva de la pop Mariah Carey est devenue la première artiste à avoir été en tête du palmarès américain de la musique sur quatre décennies différentes. Le tube sorti en 1994 est au sommet du classement Billboard Hot 100 pour la semaine du 4 janvier 2020.  Mariah Carey a ainsi eu un single en tête dans les années 90, 2000, 2010 et 2020. ""Ouaissss!!!! ON. L'A. FAIT."", s'est félicitée la chanteuse sur Twitter, célébrant la nouvelle une coupe de champagne à la main à la descente d'un avion.  ""All I Want for Christmas Is You"" a bénéficié en 2019 d'une nouvelle campagne de promotion, avec une ressortie de l'album ""Christmas"" et une nouvelle vidéo. Ce petit film utilisait des plans tournés durant la production du clip originel, mais jamais vus depuis. L'arrivée de Noël, une tournée de Mariah Carey aux Etats-Unis et sa savante utilisation des réseaux sociaux ont fait le reste, propulsant le morceau en haut du classement établi par Billboard, le premier numéro un de la chanteuse depuis plus de 11 ans. Déjà populaire durant les années 90 et 2000, le titre a bénéficié d'un coup de fouet grâce à son inclusion dans la bande originale du film ""Love Actually"" (2003) mais surtout avec l'émergence du streaming.    "
62,"Découvrez en exclusivité la nouvelle chanson du rappeur Balti et Hammouda, ""Alech"" sur les ondes de Mosaique FM. Après le succès de leur 1er duo Yalili voilà qu'ils se retrouvent pour une nouvelle collaboration.   Voici un extrait : 






volume





0:00






0:00


JavaScript is required.


Play / pause








Alech, balti et hammouda








 "
63,"Le théâtre municipal de la ville de Tunis abritera, ce mercredi 13 mars 2019 à 20h30, ""Y la vida va"", un spectacle de tango, d'après l'ambassade de la République argentine. Des artistes, chanteurs et danseurs, se produiront, en effet, sur scène sur le rythme d'une milonga. Un cocktail aura également lieu après le spectacle au salon d'honneur de la Bonbonnière.    "
